wind_normalized,solar,load,charged,discharged,inbattery,overhead,gas
84.6525,0.0,41.795,0,0,1300,42.8575,13.5775
83.99249999999999,0.0,40.282,0,0,1300,43.710499999999996,12.284499999999998
84.06,0.0,39.447,0,0,1300,44.613,11.427000000000003
84.75750000000001,0.0,39.643,0,0,1300,45.11450000000001,11.3905
84.94500000000001,0.0,39.222,0,0,1300,45.723000000000006,10.907
84.35249999999999,0.0,39.016,0,0,1300,45.336499999999994,10.898499999999999
84.00750000000001,0.0,39.937,0,0,1300,44.07050000000001,11.934499999999996
83.3475,0.672,41.363,0,0,1300,42.656499999999994,13.412500000000001
82.5525,11.664,43.653,0,0,1300,50.5635,13.2195
81.2925,33.228,46.024,0,0,1300,68.4965,10.619500000000002
80.3775,49.788,48.667,0,0,1300,81.4985,9.427500000000002
81.50250000000001,54.924,48.895,0,0,1300,87.5315,7.9964999999999975
