wind_normalized,solar_germany,load_germany,charged,discharged,inbattery,overhead,gas
43.863299999999995,0.0,39.016,4.847299999999997,0,46.89969999999999,0,0
43.6839,0.0,39.937,3.7469000000000037,0,50.64659999999999,0,0
43.3407,0.112,41.363,2.0897000000000006,0,52.736299999999986,0,0
42.927299999999995,1.944,43.653,1.2182999999999993,0,53.95459999999998,0,0
42.2721,5.538,46.024,1.7861000000000047,0,55.740699999999975,0,0
41.7963,8.298,48.667,1.4273000000000025,0,57.16799999999998,0,0
42.3813,9.154,48.895,2.6403000000000034,0,59.80829999999998,0,0
41.6208,7.984,47.961,1.643800000000006,0,61.45209999999997,0,0
40.0764,4.842,46.474,0,1.5555999999999983,59.896499999999975,0,0
37.3542,1.9,46.383,0,7.128800000000005,52.76769999999997,0,0
36.6873,0.164,48.527,0,11.675699999999999,41.09199999999997,0,0
