wind_normalized,load_germany,charged,discharged,inbattery,overhead,gas
51.293000000000006,52.744,0,1.4509999999999934,1630.158999999999,0,0
50.897,53.714,0,2.817,1627.341999999999,0,0
50.985,52.765,0,1.7800000000000011,1625.561999999999,0,0
49.912499999999994,50.521,0,0.6085000000000065,1624.953499999999,0,0
45.69949999999999,49.41,0,3.7105000000000032,1621.242999999999,0,0
42.053,49.255,0,7.202000000000005,1614.040999999999,0,0
38.863,47.055,0,8.192,1605.848999999999,0,0
36.993,44.849,0,7.8559999999999945,1597.992999999999,0,0
36.211999999999996,42.904,0,6.692000000000007,1591.300999999999,0,0
36.7125,42.139,0,5.426500000000004,1585.874499999999,0,0
36.123999999999995,41.71,0,5.586000000000006,1580.288499999999,0,0
37.103,43.188,0,6.085000000000001,1574.203499999999,0,0
38.1425,46.524,0,8.381500000000003,1565.821999999999,0,0
